// n = 100, k = 50, seed = 9527, # of sigma = 20, # of algorithms = 3
BCH5 SpecOrth logarithm	Newton Algorithm	Hybrid Algorithm
100	50	9527	20	3
0.1	0.2789473684210526	0.45789473684210524	0.6368421052631579	0.8157894736842105	0.9947368421052631	1.1736842105263159	1.3526315789473684	1.5315789473684212	1.7105263157894737	1.8894736842105264	2.068421052631579	2.2473684210526317	2.4263157894736844	2.6052631578947367	2.7842105263157895	2.963157894736842	3.142105263157895	3.3210526315789473	3.5

BCH5 SpecOrth logarithm
6404082	6519180	9711079	9765185	9782210	13040213	13026904	12946159	16196458	19789472	23133700	29686896	40433787	81273674	236415781	430402371	359837531	222978175	253575173	191040724
6441071	6479825	9735992	9764135	9866479	12940508	13185148	13211490	16440246	19584920	23046829	29716789	43141730	89873044	694052355	562050562	429761729	755539513	405025329	501016444
6366355	6429597	9684862	9819185	9781782	12933585	12834363	12938969	16176095	19346762	22690834	26100690	36044910	56195867	227687766	543869093	516656251	1186766289	566751487	275499205
6560979	6576022	9901614	9802722	9796073	12920728	12894517	12908902	16112940	19246209	22471515	26157798	35985930	55042789	195575024	555884310	586649835	326816296	1112655343	229873680
6440211	6633545	9843455	9786284	9748953	12892165	12980570	13047969	16295508	19600747	22946476	29630188	39462602	79642587	245040841	680998654	514136525	541364725	633912058	802046893
6518842	6527335	9788144	9826076	9911553	13156360	13128083	13100913	16485189	19971639	23158225	29990676	43392203	94367445	290980463	236201495	1203567482	1268942270	305957600	1131975687
6390613	6396899	9557058	9690757	9760775	12978468	12961163	16087262	16159508	19428718	26185325	32838577	53003389	154993695	175021419	197316153	199690042	524248425	207118707	234023769
6620910	6627170	9861034	9829021	9923653	13112967	13185518	13304645	16682554	20018533	23460097	30013282	40519777	74353416	516000967	136501667	307655886	870932080	192112314	205339462
6594627	6688758	10005752	10002002	9977805	13073035	13037410	13058732	16358728	19545034	23079615	29142849	39605215	69393079	1641650498	82026033	321686348	478067094	615026183	271898533
6542910	6667009	10057424	10198761	10237077	13544492	13611640	16892308	16993782	20317416	23735355	33737470	50706179	143012308	168900704	418803394	316873358	414650899	717875909	291884754
6540271	6422038	9738225	9862025	9927271	13117974	13130344	16439873	16399339	19697823	23623433	30114635	46502751	96926339	144649623	761199255	229694606	477614477	290400434	399450665
6612102	6654651	9971662	10027679	10052879	13185801	13134329	13524821	16692891	19926469	23529058	27156134	37182363	64983063	384110171	463393094	540841017	264409001	660154217	1057226453
6665872	6720329	10007849	10021479	10035208	13313028	13272138	13342016	16586105	19849103	23296113	26502507	37105962	67738477	1403316179	522695231	247418734	831014316	267786125	1698529118
6617160	6693217	9979523	10075063	10201699	10185152	13369024	13465649	16852493	20099571	20193143	26977667	33768979	50844596	169301039	247418249	202290374	361102486	363540771	566786915
6315396	6452371	9718750	9821993	9827200	13071054	13122165	16387387	16375369	19767324	23071003	29622286	46515497	105956493	199145966	236983734	397628449	310399158	422388877	316168590
6429692	6669504	9768719	9802384	9823651	13082086	13069410	13169634	16439699	19725567	23015535	29822908	43042679	145105225	162450612	682928449	678665452	537369945	326820288	333712311
6545058	6570517	9838674	9835057	9873367	13137209	13119143	13142996	16494221	19864011	23293709	26672181	37114355	57293223	159891041	137798112	452231997	289031019	578481233	241137893
